Sex,Age,Citizenship,2007 January,2007 February,2007 March,2007 April,2007 May,2007 June,2007 July,2007 August,2007 September,2007 October,2007 November,2007 December,2008 January,2008 February,2008 March,2008 April,2008 May,2008 June,2008 July,2008 August,2008 September,2008 October,2008 November,2008 December,2009 January,2009 February,2009 March,2009 April,2009 May,2009 June,2009 July,2009 August,2009 September,2009 October,2009 November,2009 December,2010 January,2010 February,2010 March,2010 April,2010 May,2010 June,2010 July,2010 August,2010 September,2010 October,2010 November,2010 December,2011 January,2011 February,2011 March,2011 April,2011 May,2011 June,2011 July,2011 August,2011 September,2011 October,2011 November,2011 December,2012 January**,2012 February**,2012 March**,2012 April**,2012 May**,2012 June**,2012 July**,2012 August**,2012 September**,2012 October**,2012 November**,2012 December**,2013 January,2013 February,2013 March,2013 April,2013 May,2013 June,2013 July,2013 August,2013 September,2013 October,2013 November,2013 December,2014 January,2014 February,2014 March,2014 April,2014 May,2014 June,2014 July,2014 August,2014 September,2014 October,2014 November,2014 December,2015 January*,2015 February*,2015 March*,2015 April*,2015 May*,2015 June*,2015 July*,2015 August*,2015 September*,2015 October*,2015 November*
Male,Total age,Georgian,15,5,5,5,0,5,5,5,5,10,5,0,0,10,5,0,0,5,0,10,10,5,10,0,10,10,5,10,5,25,10,20,35,35,95,80,105,80,100,5,5,10,15,15,15,25,20,15,5,25,20,5,5,20,30,25,10,25,10,10,10,5,20,10,10,15,10,20,25,25,25,20,15,10,15,10,15,15,15,15,25,15,25,20,25,15,25,30,35,10,30,30,20,25,10,25,20,20,25,20,20,20,15,15,15,25,20
Male,Total age,Guinean,5,5,5,0,20,25,25,35,15,15,20,5,10,5,10,5,5,15,15,10,15,15,15,5,10,10,20,15,10,10,10,10,10,15,25,20,20,20,15,5,5,10,5,5,10,15,10,10,10,10,5,10,5,10,15,15,0,10,15,10,10,15,15,20,15,10,10,5,10,5,10,10,10,10,15,10,10,5,5,10,5,10,5,0,5,5,0,5,5,10,5,0,5,5,5,0,5,5,5,5,5,5,10,5,5,10,5
Male,Total age,Indian,5,0,5,5,10,10,15,5,0,5,5,5,0,10,5,5,5,5,0,5,0,5,5,0,5,5,5,0,5,0,0,0,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,5,5,5,0,5,5,0,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0
Male,Total age,Iraqi,125,80,80,75,95,80,90,180,195,255,275,210,320,275,235,235,380,490,390,390,440,435,180,155,155,155,165,90,70,95,90,80,120,130,140,110,100,95,120,100,110,90,85,70,125,115,130,85,135,105,125,115,125,115,110,125,115,100,70,70,110,120,100,100,85,75,70,95,85,110,105,65,95,50,55,50,40,45,65,50,35,80,60,45,60,70,45,60,50,80,95,120,115,120,60,80,55,55,30,35,35,50,70,125,335,840,490
Male,Total age,Iranian,30,35,25,15,25,15,15,20,30,20,15,5,15,15,10,25,20,20,15,25,20,40,35,45,40,30,20,25,15,25,35,25,25,30,60,60,65,50,40,40,35,35,25,25,50,55,70,40,70,65,50,40,60,50,65,70,75,70,85,50,75,60,55,55,50,50,45,65,65,70,60,60,70,65,50,65,45,45,55,50,45,45,40,30,35,40,35,25,35,25,35,35,35,30,20,50,25,40,20,15,20,25,35,55,70,325,580
Male,Total age,Ivorian,10,5,10,5,5,5,5,10,10,5,0,5,5,0,5,0,5,5,5,5,10,15,0,5,5,10,5,10,5,5,10,5,5,5,15,10,5,20,20,10,10,10,5,15,10,10,10,5,10,15,10,10,10,10,10,5,10,10,5,5,5,5,10,0,0,5,5,5,5,5,5,0,5,10,5,0,0,0,0,0,5,0,0,5,5,0,0,0,0,5,0,5,5,0,5,0,5,5,5,0,5,5,0,0,0,0,0
Male,Total age,Cameroonian,0,0,5,0,5,5,5,0,0,0,0,0,0,0,5,5,5,5,5,5,0,0,0,5,0,5,0,5,0,0,0,0,5,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,10,0,5,5,5,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,5,0,5,5,0,5,0,0,5,0,5,0,0,0,0,0
Male,Total age,Kosovar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,0,5,0,5,0,0,0,10,0,0,0,0,0,0,5,10,5,0,5,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,5,0,0,5,0,0,5,10,0,5,0,0,0,5,5,5,0,5,0,5,5,5,5,5,5,5,10,5,15,45,115,75,80,35,45,20
Male,Total age,Libyan,5,5,0,5,0,5,5,0,0,5,0,0,0,0,5,5,0,5,5,10,5,15,0,15,5,5,0,5,5,5,15,10,0,5,15,15,15,10,25,30,10,10,10,15,10,5,10,10,20,15,15,5,15,20,10,10,10,5,0,5,5,5,5,5,10,10,10,5,10,10,5,15,15,10,15,5,20,5,15,10,10,25,15,10,15,10,10,5,5,10,10,25,20,15,5,5,10,10,5,5,5,10,5,10,15,10,5
Male,Total age,Macedonian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,15,5,5,20,35,55,25,20,5,0,5,5,60,50,0,0,0,5,5,5,0,5,0,5,0,0,0,0,5,5,5,5,5,0,5,5,5,0,10,5,0,5,5,10,5,10,0,10,5,5,5,0,5,0,0,5,5,0,5,5,0,5,10,5,10,5,5,5
Male,Total age,Malian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,5,0,0,0,5,0,0,5,10,10,10,5,0,0,0,0,0,0,0,0,5,0,5,0,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,Total age,Moroccan,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,5,0,0,5,0,5,0,5,5,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,5,0,0,0,10,0,5,5,5,5,5,5,5,5,5,10,5,5,5,0,5,5,5,5,5,0,5,5,0,0,5,5,5,5,5,10,5,5,0,5,5
Male,Total age,Mongolian,5,5,5,5,5,5,5,5,5,5,5,0,5,0,5,5,5,5,0,5,10,10,5,0,5,10,20,10,15,15,0,10,5,15,15,10,15,10,10,10,5,15,5,10,15,10,10,5,5,5,5,0,10,10,10,10,15,5,10,5,5,5,5,10,10,5,0,5,5,10,0,0,5,0,0,5,0,10,5,5,0,10,10,5,10,15,20,20,15,10,5,15,15,20,30,20,25,5,20,20,15,30,25,5,10,15,5
Male,Total age,Myanmarese,0,0,0,0,5,0,5,0,0,0,0,5,0,0,5,10,0,5,5,15,15,5,5,5,5,5,5,5,0,5,0,5,5,5,10,5,0,10,10,0,5,0,5,5,5,5,5,5,5,5,0,5,5,5,5,5,0,5,0,0,5,5,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0,5,0,0,10,0,0,10,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,5,0,5,0,5,5,5
Male,Total age,Nepalese,5,5,10,0,5,5,5,5,0,5,5,0,10,5,5,5,0,5,15,15,5,10,15,5,10,10,5,5,5,5,5,5,0,5,5,5,5,5,5,15,5,0,5,0,5,10,10,10,10,10,10,5,10,5,5,15,5,5,10,10,10,10,5,0,0,5,5,10,5,10,10,5,0,0,5,5,5,0,5,10,5,15,5,5,5,10,5,0,0,5,5,5,5,0,0,0,5,0,0,0,5,5,5,0,0,5,5
Male,Total age,Nigerian,10,20,15,10,15,15,15,5,10,10,10,10,10,10,5,5,0,10,5,5,10,5,0,5,5,10,5,10,10,10,5,15,5,10,10,5,15,10,15,10,10,10,5,10,15,10,15,15,10,15,5,10,5,10,10,10,15,5,5,5,15,10,10,10,5,5,5,0,5,15,5,5,10,10,10,5,10,5,15,10,10,15,5,5,10,10,10,10,15,15,10,10,20,20,20,10,15,15,15,15,15,15,10,10,15,25,15
Male,Total age,North Korean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,5,5,5,5,5,5,5,10,5,5,10,5,5,10,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,Total age,Ukrainian,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,5,0,0,0,5,0,5,5,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,5,5,5,5,15,5,10,10,30,10,20,20,10,15,20,30,35,40,40,60,45,50,25,70,75
Male,Total age,Pakistani,5,5,5,0,0,5,5,0,5,0,0,0,5,5,5,5,5,0,5,5,5,10,5,0,0,0,0,5,5,0,5,5,0,5,5,5,5,5,5,5,5,0,5,5,10,5,5,5,5,5,15,5,5,5,10,5,10,10,15,15,10,15,10,5,5,5,10,5,10,10,10,10,10,10,10,10,0,5,5,5,15,10,5,10,20,10,5,10,5,10,15,20,20,15,20,30,30,10,10,5,10,15,10,10,10,15,20
Male,Total age,Russian,5,10,5,10,0,5,0,10,5,5,0,5,10,0,10,5,0,5,10,0,5,5,5,5,5,15,5,5,5,5,5,10,5,10,15,10,10,15,5,20,5,10,10,5,10,10,15,5,15,15,20,10,15,20,25,30,30,35,35,35,45,65,50,40,25,30,50,50,20,25,30,15,20,20,15,10,10,10,15,10,15,20,15,10,15,10,5,10,10,10,5,15,5,10,20,5,10,15,10,5,5,5,5,5,10,15,5
Male,Total age,Citizen of Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,5,0,0,0,0,0,0,0,10,0,0,5,0,0,0,0,0,0,0,0,5,10,5,5,0,0,5,10,0,0,5,0,15,5,5,15,0,0,5,0,5,5,5,5,10,15,5,5,10,20,15,20,15,10,10,20,10,10,10,5,10,5,5,0,0,0,20,20,15,15,15,10,15,10,20,15,20,10,15,45,45
Male,Total age,Sierra Leonan,10,10,10,10,15,15,10,10,5,5,15,0,10,15,10,5,10,20,15,10,15,15,20,5,10,10,15,5,5,10,10,5,15,5,5,5,10,5,5,5,0,5,5,5,5,5,5,10,5,10,10,10,10,10,15,5,5,5,0,10,5,5,0,5,5,5,10,5,5,10,10,5,5,5,5,0,5,5,5,0,5,5,0,0,10,10,5,0,5,0,5,5,5,5,5,5,0,5,5,5,5,0,5,5,10,5,5
Male,Total age,Sudanese,10,10,5,10,5,5,5,0,5,5,5,0,5,5,5,5,5,0,5,10,5,5,15,5,5,5,15,10,5,5,10,5,15,5,15,15,10,10,15,10,5,10,5,10,15,15,15,35,5,10,10,5,10,10,10,15,15,15,15,15,15,15,10,5,10,5,15,10,5,15,10,5,10,15,5,10,5,10,5,5,10,5,5,5,10,10,10,5,15,25,15,35,20,15,10,10,5,5,5,10,40,35,35,30,30,20,15
